date,value
1957-01-01,10.5503768671953
1957-04-01,10.5503768671953
1957-07-01,10.753268730026
1957-10-01,10.753268730026
1958-01-01,10.753268730026
1958-04-01,10.753268730026
1958-07-01,10.8547146614413
1958-10-01,10.8547146614413
1959-01-01,10.6518227986106
1959-04-01,10.753268730026
1959-07-01,10.753268730026
1959-10-01,10.8547146614413
1960-01-01,10.8750038477244
1960-04-01,10.925726813432
1960-07-01,10.925726813432
1960-10-01,10.9967389653213
1961-01-01,11.057606524272
1961-04-01,11.077895710555
1961-07-01,11.0677511173121
1961-10-01,11.0271727448474
1962-01-01,10.9561605928566
1962-04-01,10.9561605928566
1962-07-01,10.9231932089263
1962-10-01,10.9561605928566
1963-01-01,11.0220953606075
1963-04-01,11.0550627445378
1963-07-01,11.0880301285781
1963-10-01,11.142975768462
1964-01-01,11.1759431523924
1964-04-01,11.2089105363227
1964-07-01,11.2858344321602
1964-10-01,11.3188018160906
1965-01-01,11.3297909439575
1965-04-01,11.4286930958585
1965-07-01,11.4946278636093
1965-10-01,11.5495735034932
1966-01-01,11.6374865273075
1966-04-01,11.688169048197
1966-07-01,11.692067703572
1966-10-01,11.6725744262679
1967-01-01,11.7154596363292
1967-04-01,11.7115609808372
1967-07-01,11.6998650145561
1967-10-01,11.7271556027273
1968-01-01,11.4191618218596
1968-04-01,11.4893376200532
1968-07-01,11.6101959390583
1968-10-01,11.6998650144781
1969-01-01,11.8129260225771
1969-04-01,11.8870004762238
1969-07-01,11.8947977871298
1969-10-01,12.0468453498372
1970-01-01,12.1832982906544
1970-04-01,12.2885619878863
1970-07-01,12.3275485424166
1970-10-01,12.4756974496319
1971-01-01,12.7135154322281
1971-04-01,12.9942186248465
1971-07-01,13.2866177839021
1971-10-01,13.3411989602056
1972-01-01,13.4542599684215
1972-04-01,13.7232671946029
1972-07-01,13.621902152863
1972-10-01,13.5985102200668
1973-01-01,13.4737532456867
1973-04-01,13.5244357665372
1973-07-01,13.7154698837359
1973-10-01,13.7193685391109
1974-01-01,15.657000299347
1974-04-01,18.729140796377
1974-07-01,19.7077033149717
1974-10-01,21.8480651587265
1975-01-01,23.3451488526917
1975-04-01,23.7077238098239
1975-07-01,23.9728323806302
1975-10-01,24.6706917067234
1976-01-01,25.5790784272804
1976-04-01,26.2379511988042
1976-07-01,26.1716740561416
1976-10-01,27.0683648103005
1977-01-01,30.8773511879931
1977-04-01,31.6297916903507
1977-07-01,32.0196572356541
1977-10-01,32.464103957339
1978-01-01,33.0411049643492
1978-04-01,33.3997812661063
1978-07-01,33.8598226095643
1978-10-01,34.8500810946351
1979-01-01,36.2535970577274
1979-04-01,39.3080277573816
1979-07-01,42.765188461859
1979-10-01,45.134188487128
1980-01-01,49.3446911991097
1980-04-01,52.2775132309417
1980-07-01,52.8713425705304
1980-10-01,52.5412619004569
1981-01-01,53.0656005729443
1981-04-01,53.157130119388
1981-07-01,52.6025687502969
1981-10-01,52.7640914793152
1982-01-01,54.2716369496143
1982-04-01,55.7253415113176
1982-07-01,57.2867278912895
1982-10-01,58.6865915433199
1983-01-01,59.3865233685275
1983-04-01,62.3477734005299
1983-07-01,62.3477734005299
1983-10-01,61.3247961167473
1984-01-01,60.8940688393651
1984-04-01,61.7016824844567
1984-07-01,64.5552506971135
1984-10-01,64.4475688783064
1985-01-01,67.4088189103088
1985-04-01,75.9156826386065
1985-07-01,76.3464099154503
1985-10-01,78.9307735797433
1986-01-01,78.607728122245
1986-04-01,75.808000819261
1986-07-01,85.4993645603597
1986-10-01,86.3069782054512
1987-01-01,86.7377054828334
1987-04-01,85.2301600119958
1987-07-01,85.176319102323
1987-10-01,88.6221373213804
1988-01-01,89.1067055084353
1988-04-01,85.9300918377418
1988-07-01,82.1073872509751
1988-10-01,80.7075235994831
1989-01-01,79.6307054060277
1989-04-01,84.0995009088676
1989-07-01,85.8762509280691
1989-10-01,84.8532736442864
1990-01-01,86.3069782054512
1990-04-01,85.5101402253949
1990-07-01,85.0645964085893
1990-10-01,90.8823704780324
1991-01-01,90.1369413999153
1991-04-01,87.4236937975731
1991-07-01,86.6525602684864
1991-10-01,87.2237702900321
1992-01-01,89.1658843632876
1992-04-01,88.8231583503601
1992-07-01,93.1643545141076
1992-10-01,95.991844120759
1993-01-01,97.0200221595413
1993-04-01,97.9339581940144
1993-07-01,100.790008301743
1993-10-01,101.161294815748
1994-01-01,97.2770666692368
1994-04-01,96.8200986520003
1994-07-01,97.1342641638504
1994-10-01,96.1632071272227
1995-01-01,97.4484296757006
1995-04-01,102.675001372844
1995-07-01,101.589702331907
1995-10-01,99.5047857532652
1996-01-01,98.3338052090964
1996-04-01,94.8779845787448
1996-07-01,93.8783670410398
1996-10-01,93.2214755162622
1997-01-01,93.1357940130303
1997-04-01,91.8505714645525
1997-07-01,94.9351055808993
1997-10-01,98.8764547295648
1998-01-01,99.990314271579
1998-04-01,101.532581329752
1998-07-01,105.302567471954
1998-10-01,104.274389433172
1999-01-01,102.046670349144
1999-04-01,99.0553525415891
1999-07-01,98.9698863185162
1999-10-01,101.106541895341
2000-01-01,102.644933910655
2000-04-01,108.285704633472
2000-07-01,109.738630425712
2000-10-01,117.088725609989
2001-01-01,113.584610463997
2001-04-01,118.54165140223
2001-07-01,115.464867371602
2001-10-01,115.293934925456
2002-01-01,111.789819779464
2002-04-01,109.738630425712
2002-07-01,109.824096648785
2002-10-01,110.080495318004
2003-01-01,108.029305964253
2003-04-01,102.644933910655
2003-07-01,99.1408187646621
2003-10-01,96.2349671801806
2004-01-01,92.3035209188234
